"","GENE_SYMBOL","p_value","odds_ratio","p_value_adj"
"318","AGPAT1",0.513559322033898,0.421541817082256,1
"319","AGPAT4-IT1",1,Inf,1
"320","AGPS",1,Inf,1
"321","AGRN",1,1.14858756884997,1
"322","AGTR1",1,Inf,1
"323","AHCTF1",0.551149131767109,Inf,1
"324","AHDC1",0.636392259817837,0.634437248676446,1
"325","AHNAK",0.171499716034615,0.412760716879545,1
"326","AHNAK2",0.00165261702466673,2.90732833185077,0.519055741720326
"327","AHRR",1,Inf,1
"328","AHSA2P",0.3,0,1
"329","AHSG",1,Inf,1
"330","AHSP",1,Inf,1
"331","AIF1L",0.0864406779661016,0,1
"332","AIFM3",1,Inf,1
"333","AIG1",0.3,0,1
"334","AIMP1",1,Inf,1
"335","AIP",1,Inf,1
"336","AIRE",0.698063689556077,0.703937743532389,1
"337","AJAP1",1,1,1
"338","AJUBA",0.513559322033898,0.421541817082256,1
"339","AK2",0.80903574274065,1.18526109862716,1
"340","AK5",0.315070174093105,Inf,1
"341","AK7",0.551149131767109,Inf,1
"342","AK8",0.3,0,1
"343","AK9",0.0801825293350717,0.13508386118405,1
"344","AKAIN1",1,Inf,1
"345","AKAP1",1,Inf,1
"346","AKAP12",0.322691464366559,Inf,1
"347","AKAP13",0.670163493490176,2.18209082999063,1
"348","AKAP14",1,Inf,1
"349","AKAP17A",0.513559322033898,0.421541817082256,1
"350","AKAP3",0.3,0,1
"351","AKAP5",0.213125638406537,0.205779383316691,1
"352","AKAP6",1,1.73685658454464,1
"353","AKAP8L",1,Inf,1
"354","AKAP9",0.213125638406537,0.205779383316691,1
"355","AKNA",0.551149131767109,Inf,1
"356","AKNAD1",1,Inf,1
"357","AKR1B1P6",1,Inf,1
"358","AKR1C2",0.703563602813977,1.48013944336913,1
"359","AKR1C8",1,Inf,1
"360","AKR1E2",0.551149131767109,Inf,1
"361","AKR7A3",0.00343216848914698,0.109834869568725,0.725186000225036
"362","AKR7L",1,Inf,1
"363","AKT1",0.695233867715416,0.698427449001062,1
"364","AKT2",1,1.74276173143595,1
"365","AKT3",1,Inf,1
"366","AKTIP",1,Inf,1
"367","ALAD",1,Inf,1
"368","ALAS1",1,Inf,1
"369","ALAS2",1,Inf,1
"370","ALCAM",1,Inf,1
"371","ALDH16A1",1,Inf,1
"372","ALDH1A2",1,Inf,1
"373","ALDH1B1",1,Inf,1
"374","ALDH1L1",1,Inf,1
"375","ALDH1L2",1,0.854030472826908,1
"376","ALDH2",1,Inf,1
"377","ALDH3B1",1,1.30219494601062,1
"378","ALDH6A1",1,Inf,1
"379","ALDH7A1",0.3,0,1
"380","ALDH9A1",1,Inf,1
"381","ALDOC",1,Inf,1
"382","ALG1",0.513559322033898,0.421541817082256,1
"383","ALG10",1,Inf,1
"384","ALG10B",1,Inf,1
"385","ALG11",0.3,0,1
"386","ALG12",0.427104991053461,3.21677128417369,1
"387","ALG13",1,Inf,1
"388","ALG1L8P",0.517241379310345,0.414037037905611,1
"389","ALG3",1,Inf,1
"390","ALG8",1,Inf,1
"391","ALK",0.322691464366559,Inf,1
"392","ALKBH2",0.3,0,1
"393","ALKBH5",1,Inf,1
"394","ALLC",1,0.854030472826908,1
"395","ALMS1",1,Inf,1
"396","ALMS1P1",0.3,0,1
"397","ALOX12",1,0.854030472826908,1
"398","ALOX15",0.3,0,1
"399","ALOX5AP",0.3,0,1
"400","ALOXE3",1,Inf,1
"401","ALPG",0.582421964874607,0.418072417457107,1
"402","ALPI",0.551149131767109,Inf,1
"403","ALPK1",0.670163493490176,2.18209082999063,1
"404","ALPK2",1,1.29359912432262,1
"405","ALPK3",1,1.29359912432262,1
"406","ALPL",1,Inf,1
"407","ALPP",1,1.20624129815004,1
"408","ALS2CL",1,Inf,1
"409","ALX4",1,Inf,1
"410","ALYREF",1,Inf,1
"411","AMACR",1,1.73685658454464,1
"412","AMBN",1,Inf,1
"413","AMDHD1",1,Inf,1
"414","AMDHD2",0.3,0,1
"415","AMER1",0.172919335189123,0.416004583975904,1
"416","AMER2",1,Inf,1
"417","AMFR",0.513559322033898,0.421541817082256,1
"418","AMH",1,1.84664905540066,1
"419","AMHR2",1,Inf,1
"420","AMIGO3",1,Inf,1
"421","AMMECR1",0.53448275862069,Inf,1
"422","AMN1",1,Inf,1
"423","AMOT",0.547106954997078,Inf,1
"424","AMOTL1",0.754927419842954,0.849616537871907,1
"425","AMOTL2",0.3,0,1
"426","AMPD1",0.513559322033898,0.421541817082256,1
"427","AMPD2",0.315070174093105,Inf,1
"428","AMPH",1,0.854030472826908,1
"429","AMY2B",1,Inf,1
"430","AMZ1",1,Inf,1
"431","ANAPC1",0.662998777960789,2.79314358440092,1
"432","ANAPC15",1,Inf,1
"433","ANAPC1P1",1,Inf,1
"434","ANAPC1P6",1,Inf,1
"435","ANAPC2",0.322691464366559,Inf,1
"436","ANGEL1",1,Inf,1
"437","ANGPT2",1,Inf,1
"438","ANGPTL4",1,Inf,1
"439","ANGPTL6",1,Inf,1
"440","ANGPTL8",0.551149131767109,Inf,1
"441","ANHX",1,Inf,1
"442","ANK1",1,1.73685658454464,1
"443","ANK2",1,1.73685658454464,1
"444","ANK3",1,Inf,1
"445","ANKAR",1,Inf,1
"446","ANKDD1A",0.551149131767109,Inf,1
"447","ANKDD1B",1,0.854030472826908,1
"448","ANKEF1",1,Inf,1
"449","ANKFN1",1,Inf,1
"450","ANKFY1",0.315070174093105,Inf,1
"451","ANKHD1",1,Inf,1
"452","ANKIB1",1,Inf,1
"453","ANKK1",0.322691464366559,Inf,1
"454","ANKLE1",1,0.854030472826908,1
"455","ANKLE2",1,0.852438825115023,1
"456","ANKMY1",1,Inf,1
"457","ANKRD10",1,Inf,1
"458","ANKRD11",0.244636289256931,2.6442476368879,1
"459","ANKRD11P2",1,Inf,1
"460","ANKRD13B",1,Inf,1
"461","ANKRD13C",0.513559322033898,0.421541817082256,1
"462","ANKRD13D",0.0864406779661016,0,1
"463","ANKRD16",1,0.854030472826908,1
"464","ANKRD17",0.513559322033898,0.421541817082256,1
"465","ANKRD18A",0.513559322033898,0.421541817082256,1
"466","ANKRD18B",1,Inf,1
"467","ANKRD20A17P",0.302431974238668,0.552233450093258,1
"468","ANKRD20A21P",0.418890554722639,0.392820699768688,1
