"","GENE_SYMBOL","p_value","odds_ratio","p_value_adj"
"487","ANKRD36BP2",0.111311265388844,1.6720267752195,1
"488","ANKRD36C",0.171593005841181,0.818604724757975,1
"489","ANKRD40",1,0,1
"490","ANKRD44",1,1.32013338503683,1
"491","ANKRD50",0.63228410008071,0.427597555272113,1
"492","ANKRD52",1,0,1
"493","ANKRD53",0.63228410008071,0.427597555272113,1
"494","ANKRD6",1,0.777073837792088,1
"495","ANKRD60",1,0,1
"496","ANKRD62",0.433333333333333,Inf,1
"497","ANKRD63",1,0,1
"498","ANKRD9",1,0,1
"499","ANKS1A",1,0.647765169260659,1
"500","ANKS1B",1,0.647765169260659,1
"501","ANKUB1",1,0,1
"502","ANKZF1",1,0.644595148149946,1
"503","ANLN",0.433333333333333,Inf,1
"504","ANO1",0.57673646578141,2.67317690398778,1
"505","ANO10",1,1.31381951940108,1
"506","ANO2",1,0,1
"507","ANO3",0.433333333333333,Inf,1
"508","ANO4",0.433333333333333,Inf,1
"509","ANO7",0.63228410008071,0.427597555272113,1
"510","ANO8",1,0.647765169260659,1
"511","ANO9",0.465093248796357,1.79651106501414,1
"512","ANP32A",1,0,1
"513","ANP32A-IT1",0.433333333333333,Inf,1
"514","ANP32BP3",0.18361581920904,Inf,1
"515","ANP32C",1,0,1
"516","ANP32E",0.62385638431445,0.756688672809325,1
"517","ANPEP",1,0.647765169260659,1
"518","ANTKMT",0.433333333333333,Inf,1
"519","ANTXR1",1,1.31381951940108,1
"520","ANTXR2",1,0,1
"521","ANTXRL",0.0694073747765023,0,1
"522","ANXA10",0.500564971751412,0,1
"523","ANXA11",0.63228410008071,0.427597555272113,1
"524","ANXA13",1,0,1
"525","ANXA2P2",0.0369236754407337,0,1
"526","ANXA2R",1,0,1
"527","ANXA3",1,0,1
"528","ANXA6",1,0.647765169260659,1
"529","ANXA8L1",0.237931034482759,0,1
"530","AOC1",1,0.647765169260659,1
"531","AOC2",1,0,1
"532","AOC3",1,0.647765169260659,1
"533","AOC4P",1,0,1
"534","AOX1",1,1.31689955794201,1
"535","AP1AR",0.433333333333333,Inf,1
"536","AP1B1",1,0,1
"537","AP1G2",1,1.31689955794201,1
"538","AP1G2-AS1",1,0,1
"539","AP1M1",1,0,1
"540","AP2A1",1,0.868549742946098,1
"541","AP2A2",1,0.647765169260659,1
"542","AP2B1",1,0,1
"543","AP3B1",1,1.31381951940108,1
"544","AP3B2",0.433333333333333,Inf,1
"545","AP3D1",1,1.31381951940108,1
"546","AP3M2",1,0,1
"547","AP3S1",1,1.00786977302849,1
"548","AP4B1",0.433333333333333,Inf,1
"549","AP4M1",1,0,1
"550","AP5B1",0.433333333333333,Inf,1
"551","AP5M1",1,0,1
"552","AP5Z1",0.132095776163573,0,1
"553","APBA1",0.433333333333333,Inf,1
"554","APBA2",1,1.31381951940108,1
"555","APBA3",0.315039009954264,4.0561599044175,1
"556","APBB1",1,0.861820455407964,1
"557","APBB2",0.18361581920904,Inf,1
"558","APBB3",0.500564971751412,0,1
"559","APC",0.543585314230575,0.846804016491859,1
"560","APC2",0.469810231408819,1.77281045664939,1
"561","APCDD1",1,0,1
"562","APCDD1L",1,0,1
"563","APEH",1,1.31381951940108,1
"564","APEX1",0.433333333333333,Inf,1
"565","APH1A",1,0,1
"566","APLF",0.433333333333333,Inf,1
"567","APLNR",1,1.31381951940108,1
"568","APLP1",1,1.31381951940108,1
"569","APMAP",1,0,1
"570","APOA4",0.433333333333333,Inf,1
"571","APOA5",1,0,1
"572","APOB",0.469810231408819,1.77281045664939,1
"573","APOBEC3A",1,1.32043730154981,1
"574","APOBEC3B",0.626103540557999,0.418932577789878,1
"575","APOBEC3D",1,0,1
"576","APOBEC3F",0.433333333333333,Inf,1
"577","APOBEC4",0.433333333333333,Inf,1
"578","APOBR",0.63228410008071,0.427597555272113,1
"579","APOC1P1",1,0,1
"580","APOC3",1,0,1
"581","APOC4",0.433333333333333,Inf,1
"582","APOE",1,0,1
"583","APOL3",1,0,1
"584","APOL4",0.491954022988506,0,1
"585","APOL5",1,0,1
"586","APOOL",1,0,1
"587","APP",0.112935595694216,0,1
"588","APPL1",1,0,1
"589","APRG1",0.500564971751412,0,1
"590","APRT",0.564532019704434,2.80646429221781,1
"591","AQP10",1,0.647765169260659,1
"592","AQP11",1,1.31381951940108,1
"593","AQP12A",0.18361581920904,Inf,1
"594","AQP12B",1,0,1
"595","AQP2",1,1.31381951940108,1
"596","AQP5",1,0,1
"597","AQR",1,0,1
"598","AR",0.500564971751412,0,1
"599","ARAF",0.433333333333333,Inf,1
"600","ARAP1",1,0.647765169260659,1
"601","ARAP1-AS2",1,0,1
"602","ARAP2",0.57673646578141,2.67317690398778,1
"603","ARAP3",0.63228410008071,0.427597555272113,1
"604","ARF1",1,0,1
"605","ARF3",1,0,1
"606","ARFGAP1",1,1.31381951940108,1
"607","ARFGAP2",1,0,1
"608","ARFGEF2",1,0.647765169260659,1
"609","ARFGEF3",1,1.31381951940108,1
"610","ARFIP1",1,1.31381951940108,1
"611","ARFIP2",1,0,1
"612","ARGLU1",1,1.06436168069973,1
"613","ARHGAP1",0.433333333333333,Inf,1
"614","ARHGAP10",0.500564971751412,0,1
"615","ARHGAP11A",1,0,1
"616","ARHGAP15",0.433333333333333,Inf,1
"617","ARHGAP18",1,0,1
"618","ARHGAP19",0.500564971751412,0,1
"619","ARHGAP22",1,1.32013338503683,1
"620","ARHGAP23",0.18361581920904,Inf,1
"621","ARHGAP23P1",0.273195037719124,1.63122779581224,1
"622","ARHGAP24",1,1.31381951940108,1
"623","ARHGAP25",1,0,1
"624","ARHGAP26",1,0,1
"625","ARHGAP27",0.63228410008071,0.427597555272113,1
"626","ARHGAP27P2",0.433333333333333,Inf,1
"627","ARHGAP28",1,1.31381951940108,1
"628","ARHGAP29",1,1.31381951940108,1
"629","ARHGAP31",0.500564971751412,0,1
"630","ARHGAP32",1,1.31381951940108,1
"631","ARHGAP33",0.63228410008071,0.427597555272113,1
"632","ARHGAP36",0.433333333333333,Inf,1
"633","ARHGAP39",0.405322059786785,2.68789027334791,1
"634","ARHGAP4",0.18361581920904,Inf,1
"635","ARHGAP40",0.433333333333333,Inf,1
"636","ARHGAP42-AS1",0.433333333333333,Inf,1
"637","ARHGAP44",1,0,1
"638","ARHGAP45",1,1.32013338503683,1
"639","ARHGAP5",0.652735649793662,1.99868115647313,1
"640","ARHGAP6",1,1.31689955794201,1
"641","ARHGAP8",0.433333333333333,Inf,1
"642","ARHGAP9",1,1.31381951940108,1
"643","ARHGDIA",1,1.31381951940108,1
"644","ARHGEF1",0.255056179775281,0,1
"645","ARHGEF10L",0.57673646578141,2.67317690398778,1
"646","ARHGEF11",1,1.31381951940108,1
"647","ARHGEF12",1,1.31381951940108,1
"648","ARHGEF15",0.652735649793662,1.99868115647313,1
"649","ARHGEF16",0.652735649793662,1.99868115647313,1
